secondary_substation_unique_id,latitude,longitude
SSEN-2521021040,51.4992,-0.424587
SSEN-2521021040,51.4992,-0.424587
SSEN-2526005100,51.497569,-0.305051
SSEN-2526005100,51.497569,-0.305051
SSEN-2526005100,51.497569,-0.305051
SSEN-2526005100,51.497569,-0.305051
SSEN-2526007060,51.499945,-0.301433
SSEN-2526007060,51.499945,-0.301433
SSEN-2526007060,51.499945,-0.301433
SSEN-2526008030,51.499069,-0.321175
SSEN-2526008030,51.499069,-0.321175
SSEN-2526008030,51.499069,-0.321175
SSEN-2526008030,51.499069,-0.321175
SSEN-2526008030,51.499069,-0.321175
SSEN-2526008030,51.499069,-0.321175
SSEN-2526009040,51.496316,-0.297362
SSEN-2526009040,51.496316,-0.297362
SSEN-2526009040,51.496316,-0.297362
SSEN-2526009060,51.496402,-0.299563
SSEN-2526009060,51.496402,-0.299563
SSEN-2526009080,51.494833,-0.298022
SSEN-2526009080,51.494833,-0.298022
SSEN-2526009080,51.494833,-0.298022
SSEN-2526009120,51.492323,-0.300478
SSEN-2526009120,51.492323,-0.300478
SSEN-2526009240,51.492348,-0.280569
SSEN-2526010010,51.491092,-0.306747
SSEN-2526010010,51.491092,-0.306747
SSEN-2526010010,51.491092,-0.306747
SSEN-2526010030,51.492814,-0.312042
SSEN-2526010030,51.492814,-0.312042
SSEN-2526010030,51.492814,-0.312042
SSEN-2526010030,51.492814,-0.312042
SSEN-2526010030,51.492814,-0.312042
SSEN-2526010040,51.4913,-0.312823
SSEN-2526010040,51.4913,-0.312823
SSEN-2526010040,51.4913,-0.312823
SSEN-2526017010,51.498054,-0.28276
SSEN-2526017010,51.498054,-0.28276
SSEN-2526017010,51.498054,-0.28276
SSEN-2526017020,51.496304,-0.28114
SSEN-2526017020,51.496304,-0.28114
SSEN-2528001360,51.497374,-0.364818
SSEN-2528001360,51.497374,-0.364818
SSEN-2528001360,51.497374,-0.364818
SSEN-2528001380,51.495881,-0.363518
SSEN-2528001380,51.495881,-0.363518
SSEN-2528001400,51.494502,-0.365829
SSEN-2528001420,51.493216,-0.36841
SSEN-2528001440,51.495517,-0.371541
SSEN-2528001440,51.495517,-0.371541
SSEN-2528001440,51.495517,-0.371541
SSEN-2528012030,51.486589,-0.33392
SSEN-2528012030,51.486589,-0.33392
SSEN-2528012040,51.487322,-0.340548
SSEN-2528012040,51.487322,-0.340548
SSEN-2528012050,51.483249,-0.336836
SSEN-2528012050,51.483249,-0.336836
SSEN-2528012050,51.483249,-0.336836
SSEN-2528012050,51.483249,-0.336836
SSEN-2528012050,51.483249,-0.336836
SSEN-2528012060,51.48337,-0.341584
SSEN-2528012060,51.48337,-0.341584
SSEN-2528012070,51.483436,-0.348754
SSEN-2528012070,51.483436,-0.348754
SSEN-2528012070,51.483436,-0.348754
SSEN-2528012070,51.483436,-0.348754
SSEN-2528012070,51.483436,-0.348754
SSEN-2529001020,51.496592,-0.431261
SSEN-2529001020,51.496592,-0.431261
SSEN-2529001020,51.496592,-0.431261
SSEN-2529001020,51.496592,-0.431261
SSEN-2529001040,51.496928,-0.426855
SSEN-2529001040,51.496928,-0.426855
SSEN-2529001040,51.496928,-0.426855
SSEN-2529001040,51.496928,-0.426855
SSEN-2529001040,51.496928,-0.426855
SSEN-2529001120,51.496125,-0.423296
SSEN-2529001140,51.495221,-0.425603
SSEN-2529001140,51.495221,-0.425603
SSEN-2529001140,51.495221,-0.425603
SSEN-2529001140,51.495221,-0.425603
SSEN-2529001160,51.494311,-0.426153
SSEN-2529001160,51.494311,-0.426153
SSEN-2529001180,51.494758,-0.422637
SSEN-2529001180,51.494758,-0.422637
SSEN-2529001180,51.494758,-0.422637
SSEN-2529001180,51.494758,-0.422637
SSEN-2529001180,51.494758,-0.422637
SSEN-2529001300,51.49324,-0.433422
SSEN-2529001300,51.49324,-0.433422
SSEN-2529001340,51.490267,-0.435727
SSEN-2529001340,51.490267,-0.435727
SSEN-2529001400,51.489197,-0.434424
SSEN-2529001400,51.489197,-0.434424
SSEN-2529001400,51.489197,-0.434424
SSEN-2529001400,51.489197,-0.434424
SSEN-2529001420,51.487045,-0.434858
SSEN-2529001420,51.487045,-0.434858
SSEN-2529001420,51.487045,-0.434858
SSEN-2529001440,51.48582,-0.436758
SSEN-2529001440,51.48582,-0.436758
SSEN-2529001440,51.48582,-0.436758
SSEN-2529001440,51.48582,-0.436758
SSEN-2529001440,51.48582,-0.436758
SSEN-2529001460,51.484233,-0.434407
SSEN-2529001460,51.484233,-0.434407
SSEN-2529001460,51.484233,-0.434407
SSEN-2529001470,51.481522,-0.433223
SSEN-2529001500,51.481713,-0.433543
SSEN-2529002160,51.485543,-0.401566
SSEN-2529002160,51.485543,-0.401566
SSEN-2529002290,51.485703,-0.396159
SSEN-2529002290,51.485703,-0.396159
SSEN-2529002290,51.485703,-0.396159
SSEN-2529002300,51.483906,-0.393572
SSEN-2529002300,51.483906,-0.393572
SSEN-2529002300,51.483906,-0.393572
SSEN-2529002300,51.483906,-0.393572
SSEN-2529002310,51.482942,-0.389559
SSEN-2529002310,51.482942,-0.389559
SSEN-2529002320,51.486532,-0.389001
SSEN-2529002320,51.486532,-0.389001
SSEN-2529002320,51.486532,-0.389001
SSEN-2529002330,51.486507,-0.390485
SSEN-2529002330,51.486507,-0.390485
SSEN-2529002340,51.481599,-0.395871
SSEN-2529002340,51.481599,-0.395871
SSEN-2529002340,51.481599,-0.395871
SSEN-2529002340,51.481599,-0.395871
SSEN-2529002350,51.480575,-0.393344
SSEN-2529002350,51.480575,-0.393344
SSEN-2529002350,51.480575,-0.393344
SSEN-2529002350,51.480575,-0.393344
SSEN-2529002360,51.479701,-0.392554
SSEN-2529002360,51.479701,-0.392554
SSEN-2529002360,51.479701,-0.392554
SSEN-2529002360,51.479701,-0.392554
SSEN-2529002370,51.479479,-0.386196
SSEN-2529002370,51.479479,-0.386196
SSEN-2529002370,51.479479,-0.386196
SSEN-2529002370,51.479479,-0.386196
SSEN-2529002380,51.480728,-0.389421
SSEN-2529002380,51.480728,-0.389421
SSEN-2529002380,51.480728,-0.389421
SSEN-2529004080,51.497903,-0.39661
SSEN-2529004080,51.497903,-0.39661
SSEN-2529004080,51.497903,-0.39661
SSEN-2529004080,51.497903,-0.39661
SSEN-2529004080,51.497903,-0.39661
SSEN-2529004140,51.496677,-0.393095
SSEN-2529004140,51.496677,-0.393095
SSEN-2529004160,51.498921,-0.392785
SSEN-2529004160,51.498921,-0.392785
SSEN-2529004160,51.498921,-0.392785
SSEN-2529004160,51.498921,-0.392785
SSEN-2529004160,51.498921,-0.392785
SSEN-2529004200,51.498054,-0.391202
SSEN-2529004220,51.49947,-0.384928
SSEN-2529004220,51.49947,-0.384928
SSEN-2529009040,51.483732,-0.437305
SSEN-2529009040,51.483732,-0.437305
SSEN-2529009040,51.483732,-0.437305
SSEN-2529009060,51.489806,-0.379983
SSEN-2529009060,51.489806,-0.379983
SSEN-2529009060,51.489806,-0.379983
SSEN-2529009060,51.489806,-0.379983
SSEN-2529009100,51.488072,-0.380693
SSEN-2529009100,51.488072,-0.380693
SSEN-2529009120,51.488552,-0.377709
SSEN-2529009160,51.486253,-0.383796
SSEN-2529009160,51.486253,-0.383796
SSEN-2529009160,51.486253,-0.383796
SSEN-2529009160,51.486253,-0.383796
SSEN-2529009180,51.483582,-0.380535
SSEN-2529009180,51.483582,-0.380535
SSEN-2529009180,51.483582,-0.380535
SSEN-2529009180,51.483582,-0.380535
SSEN-2529009200,51.484284,-0.377327
SSEN-2529009200,51.484284,-0.377327
SSEN-2529009240,51.4853,-0.377291
SSEN-2529009240,51.4853,-0.377291
SSEN-2529009240,51.4853,-0.377291
SSEN-2529009250,51.487727,-0.375894
SSEN-2529009250,51.487727,-0.375894
SSEN-2529009260,51.483882,-0.372286
SSEN-2529009260,51.483882,-0.372286
SSEN-2529009270,51.483835,-0.370243
SSEN-2529009270,51.483835,-0.370243
SSEN-2529009270,51.483835,-0.370243
SSEN-2529009290,51.488987,-0.372105
SSEN-2529009300,51.486686,-0.368931
